ingresos_mensuales,deuda_activa,historial_pagos,antiguedad_laboral,creditos_activos,monto_solicitado,atrasos_previos,dependientes_economicos,utilizacion_credito,en_riesgo
8831.89,17729.79,73.0,2.4,3.0,24611.03,7.0,1.0,40.1,0
4654.73,26044.37,,3.0,5.0,24520.37,0.0,4.0,41.3,0
8290.53,12034.33,73.2,4.2,4.0,19995.58,4.0,5.0,45.7,1
8311.8,16863.87,29.7,10.8,5.0,14304.49,0.0,2.0,76.7,1
4741.43,18092.58,44.5,,0.0,20308.34,7.0,3.0,102.6,1
2907.14,25781.27,65.3,5.0,3.0,19364.35,1.0,5.0,80.8,0
2710.79,17101.39,13.0,0.5,3.0,17699.63,2.0,1.0,52.3,1
6776.82,34274.69,56.3,,5.0,28318.0,5.0,1.0,26.8,1
7546.43,16591.15,55.0,6.8,3.0,51714.74,7.0,2.0,70.7,1
3963.92,15860.85,56.3,0.2,6.0,40981.18,3.0,2.0,98.6,1
6585.07,16460.71,50.9,13.8,5.0,48303.03,2.0,2.0,80.1,0
8325.72,6150.23,41.1,1.9,4.0,18187.7,2.0,3.0,57.8,1
8478.21,8669.46,22.9,0.3,2.0,45096.26,7.0,1.0,38.3,1
11466.02,13224.0,66.2,14.6,2.0,27727.31,7.0,3.0,61.7,0
10586.34,28222.47,56.4,1.3,3.0,36836.36,0.0,0.0,84.3,0
3295.87,,32.7,4.1,3.0,30492.45,7.0,5.0,58.5,1
11887.48,13638.2,64.4,5.7,0.0,20880.79,6.0,1.0,49.1,1
4800.88,29038.81,56.5,1.7,1.0,33633.97,4.0,1.0,32.8,1
9843.59,31960.59,52.9,9.1,5.0,30819.17,2.0,0.0,124.5,0
6717.56,29298.44,15.5,5.3,3.0,3781.76,3.0,2.0,27.1,1
5181.12,10322.19,78.0,5.0,6.0,23510.51,6.0,5.0,24.5,0
715.37,13542.76,35.9,,1.0,,2.0,3.0,56.6,0
5950.99,,64.4,3.9,6.0,28329.06,2.0,4.0,46.3,0
1509.97,20170.26,45.2,7.6,5.0,30633.65,3.0,3.0,80.7,1
9595.36,15591.36,54.4,1.0,2.0,15982.91,0.0,2.0,81.6,0
11353.74,24465.13,,3.0,4.0,28074.53,3.0,4.0,,1
3949.88,27065.69,74.7,2.8,6.0,23843.89,1.0,2.0,30.8,0
7466.31,12856.95,87.9,3.1,4.0,,0.0,4.0,27.5,0
4178.75,19974.96,70.3,6.8,6.0,16848.92,3.0,5.0,74.0,0
4488.85,26339.04,71.7,5.4,0.0,35978.35,6.0,0.0,64.0,0
8978.38,7557.42,,3.4,1.0,29145.62,7.0,1.0,41.6,1
6376.68,18111.11,56.0,4.1,0.0,27934.57,3.0,4.0,58.1,1
12066.87,7970.49,58.1,7.2,2.0,49609.42,6.0,0.0,20.5,0
4956.86,9147.78,89.9,12.3,5.0,30685.59,1.0,4.0,31.2,0
9697.88,12932.1,51.9,1.4,6.0,39405.96,5.0,1.0,15.6,0
,22294.08,68.8,,3.0,28275.19,5.0,3.0,56.1,0
-852.97,15101.8,68.0,2.3,2.0,,2.0,3.0,56.0,0
5069.1,12164.24,88.5,9.9,6.0,12290.35,3.0,1.0,24.4,0
6341.41,,60.1,5.1,4.0,27896.68,5.0,5.0,63.8,0
6130.4,7677.34,81.2,,3.0,-6961.87,2.0,5.0,81.6,0
3824.62,21859.23,25.5,,0.0,28269.6,4.0,1.0,23.1,1
8618.66,28182.48,27.5,2.6,1.0,28784.78,1.0,4.0,42.9,1
8580.8,17287.16,12.8,1.8,4.0,22389.19,4.0,4.0,66.4,1
8399.38,16176.16,80.3,4.8,4.0,23891.6,0.0,1.0,51.8,0
11418.29,21360.96,77.8,2.9,3.0,,3.0,4.0,13.6,0
11137.9,-256.22,82.7,0.7,4.0,41627.24,4.0,1.0,39.7,0
5300.18,22831.36,48.1,,4.0,20952.99,6.0,1.0,38.7,1
7693.77,45916.97,50.6,3.2,0.0,13334.89,3.0,4.0,47.2,1
,16895.91,60.3,1.2,5.0,31535.93,0.0,0.0,48.4,0
6574.74,16927.87,94.8,1.5,4.0,26329.07,0.0,5.0,95.8,0
4580.8,24692.46,100.3,3.0,1.0,20699.98,4.0,2.0,46.2,0
11684.22,32807.99,80.5,14.7,1.0,19431.6,6.0,2.0,3.9,0
7663.83,26774.71,,4.4,6.0,24932.34,7.0,4.0,54.6,0
5802.31,-1400.46,92.4,0.2,1.0,41149.79,6.0,5.0,100.9,1
10319.58,23070.59,57.4,0.4,0.0,30634.56,2.0,4.0,47.3,0
-445.97,41147.37,54.4,7.5,0.0,24587.1,3.0,2.0,39.7,1
54.87,23601.97,60.2,1.6,1.0,35229.21,7.0,4.0,43.5,1
9046.68,7608.58,41.5,8.4,4.0,25330.38,6.0,2.0,68.4,1
6693.5,20536.47,59.1,1.3,3.0,29818.63,3.0,3.0,43.3,1
7301.43,6473.81,38.4,7.4,5.0,26813.53,3.0,4.0,9.6,1
2255.53,29095.23,85.6,1.8,1.0,32077.37,0.0,3.0,33.2,0
6425.65,9397.06,75.0,3.5,1.0,19670.27,1.0,0.0,50.2,0
12911.23,18668.19,94.5,3.5,2.0,11327.89,4.0,0.0,67.0,0
9137.44,10279.98,27.2,3.4,5.0,35882.18,4.0,0.0,35.7,1
7043.06,13081.97,104.8,5.5,3.0,43059.14,4.0,0.0,43.7,0
5095.03,31375.36,28.4,0.3,5.0,11897.43,2.0,4.0,53.3,1
5237.37,18931.11,36.6,1.8,0.0,27151.5,1.0,1.0,30.2,0
-313.43,12967.18,49.3,0.3,2.0,19613.56,3.0,1.0,49.4,1
7324.45,7692.95,91.8,11.9,3.0,35600.54,7.0,1.0,65.1,0
9205.55,1154.69,68.0,3.0,0.0,27959.75,7.0,1.0,18.8,1
1458.02,6738.47,57.6,6.9,2.0,64929.67,0.0,5.0,60.6,0
4383.47,19007.63,45.6,0.9,1.0,21382.8,2.0,0.0,21.5,1
2796.11,26822.1,32.7,0.4,3.0,43447.51,4.0,1.0,22.0,1
3410.88,12956.84,87.9,3.4,1.0,,1.0,1.0,33.4,0
6671.14,32134.89,80.6,3.3,1.0,31403.17,2.0,0.0,90.2,1
-170.09,11542.5,92.8,2.3,6.0,25445.0,1.0,1.0,4.0,0
8465.67,15857.89,71.7,4.1,1.0,26138.05,3.0,1.0,39.0,0
8912.34,8283.81,4.9,1.4,5.0,25122.46,7.0,2.0,51.3,1
5696.47,26916.86,35.6,,3.0,38599.6,7.0,0.0,84.7,1
,36877.6,73.2,1.1,0.0,14528.36,0.0,5.0,106.5,0
3311.46,2143.65,54.9,5.3,2.0,23068.19,5.0,4.0,40.2,1
10445.29,14884.54,50.7,13.0,3.0,21613.77,7.0,3.0,67.1,0
-2389.58,29383.02,38.7,1.7,1.0,4285.67,6.0,3.0,49.4,1
5387.93,4977.49,139.5,5.3,1.0,35306.98,0.0,4.0,49.2,0
2724.0,23100.16,73.0,1.3,4.0,37755.03,3.0,5.0,59.7,0
9074.62,28993.25,,8.8,0.0,17389.38,6.0,0.0,7.6,0
,18704.06,49.1,0.8,6.0,37361.59,7.0,3.0,50.7,1
7792.65,22952.37,,4.0,2.0,5996.11,2.0,1.0,64.6,0
8309.47,33848.12,33.6,7.4,2.0,25287.45,2.0,2.0,27.9,1
12375.92,35535.84,60.1,2.5,0.0,23484.9,1.0,5.0,64.8,0
5850.59,17442.3,,6.3,6.0,26052.98,7.0,3.0,3.6,1
7703.34,13208.6,28.5,17.4,1.0,25990.54,1.0,3.0,54.6,0
1747.82,9720.18,55.9,1.2,5.0,,2.0,0.0,89.6,1
10309.32,26792.68,115.3,7.7,2.0,20346.73,1.0,4.0,45.9,0
4066.37,5654.02,23.4,17.9,0.0,23695.53,7.0,4.0,24.6,1
4705.59,15726.83,35.6,3.2,2.0,41358.65,0.0,2.0,12.1,0
6428.81,18924.21,67.8,0.5,3.0,18055.37,4.0,2.0,62.9,0
1498.77,13472.98,101.9,2.6,3.0,52064.08,1.0,3.0,78.0,0
7232.06,20518.38,67.4,0.4,6.0,17378.03,3.0,4.0,50.4,0
9595.89,41080.62,,,3.0,27880.71,4.0,3.0,39.0,1
7437.39,16905.61,,6.0,5.0,31854.48,5.0,5.0,,1
1415.53,,51.8,2.2,2.0,21498.93,4.0,1.0,,1
6103.81,27137.99,64.8,,1.0,41588.36,3.0,4.0,32.7,1
8874.49,20156.25,,14.1,3.0,31542.54,2.0,4.0,34.3,0
490.44,30954.02,78.9,1.9,3.0,22541.17,6.0,4.0,97.3,1
3060.75,19482.19,27.7,,2.0,41455.18,5.0,2.0,1.6,1
9304.94,15764.19,,6.5,5.0,12814.1,5.0,2.0,5.3,1
7364.31,1946.48,63.9,10.1,6.0,18214.2,6.0,2.0,58.5,1
7818.31,3422.39,58.3,4.2,0.0,31750.85,1.0,1.0,41.2,0
12450.38,1478.71,26.9,6.4,0.0,34617.6,7.0,0.0,37.5,1
7999.37,21414.05,41.4,2.2,1.0,28871.46,7.0,1.0,59.6,1
8605.24,5739.75,89.4,5.4,4.0,23473.69,3.0,3.0,59.2,1
15174.39,29300.2,58.4,13.4,0.0,21982.67,1.0,1.0,147.3,0
5815.83,18272.22,,2.3,1.0,38576.81,2.0,4.0,35.4,0
3946.78,15802.32,43.7,,2.0,27884.74,3.0,4.0,53.4,1
7868.95,10405.3,62.4,0.4,2.0,14533.13,7.0,2.0,56.7,1
7904.77,23600.33,32.8,10.8,5.0,13841.17,2.0,2.0,,1
4814.51,10759.52,65.2,17.1,3.0,43161.54,7.0,5.0,35.7,0
3196.33,9131.6,71.2,9.3,6.0,16374.86,1.0,0.0,61.7,0
13891.5,28695.15,70.1,2.3,5.0,28272.77,7.0,1.0,78.6,0
7545.9,21191.59,43.1,2.4,2.0,41210.88,7.0,4.0,53.3,1
4156.69,15885.64,55.5,2.5,6.0,31505.29,4.0,5.0,49.1,1
9430.98,23772.9,74.8,10.3,5.0,15908.29,0.0,2.0,45.4,0
6150.74,18080.39,58.3,7.3,3.0,12811.67,4.0,4.0,34.7,0
5690.78,21447.12,56.7,4.1,5.0,47438.66,7.0,1.0,25.7,1
8299.27,10648.37,,1.4,1.0,12506.02,7.0,5.0,43.7,0
2365.98,36633.59,42.1,1.3,1.0,,3.0,3.0,64.6,1
7628.41,12783.42,86.8,9.3,5.0,29470.04,3.0,4.0,27.1,0
12621.46,32004.15,37.6,0.7,5.0,22373.46,3.0,1.0,49.9,1
7991.77,16300.18,77.4,1.9,1.0,,1.0,2.0,46.6,0
5296.12,25263.87,78.6,3.3,5.0,7386.73,5.0,4.0,101.8,1
4877.26,24608.01,51.8,3.0,3.0,22475.21,7.0,2.0,72.2,0
5186.91,,36.2,9.4,3.0,33132.26,2.0,5.0,71.8,1
5687.32,10434.39,19.7,0.3,5.0,33172.88,6.0,4.0,,1
5291.02,27680.72,49.5,10.2,1.0,18130.56,0.0,0.0,36.7,1
9432.2,34617.96,74.6,2.0,2.0,12739.48,0.0,5.0,90.5,0
953.73,15671.76,39.3,5.8,2.0,27564.56,7.0,2.0,56.5,1
9258.4,18312.35,65.1,8.5,3.0,9250.45,0.0,3.0,50.7,0
5285.0,13288.98,30.5,,1.0,40411.25,3.0,2.0,18.0,1
7706.23,14882.07,57.9,0.7,0.0,26888.91,7.0,4.0,40.8,0
2893.64,33402.81,37.8,12.7,4.0,16638.26,2.0,2.0,2.6,1
10751.62,8961.89,61.3,4.4,0.0,12345.98,2.0,2.0,45.1,0
10486.03,9520.93,,3.6,2.0,17403.32,0.0,3.0,35.9,0
9570.69,,36.8,1.1,6.0,6256.83,5.0,1.0,40.8,1
1652.78,23620.94,,0.9,6.0,30937.35,2.0,2.0,13.2,1
9153.19,37083.33,42.4,2.6,1.0,15365.84,0.0,0.0,71.7,0
7795.54,13946.05,34.1,9.1,6.0,29796.06,3.0,0.0,68.6,1
1363.13,19136.53,86.8,6.8,2.0,31450.55,1.0,3.0,99.3,0
6422.25,12053.91,55.1,0.9,1.0,36591.97,6.0,1.0,98.5,0
7666.51,19289.71,14.6,5.0,3.0,28022.17,5.0,4.0,56.4,1
8279.44,2033.13,,0.3,3.0,38502.81,7.0,4.0,80.7,1
7067.24,24164.59,83.1,9.3,2.0,41633.33,7.0,3.0,59.3,0
7431.94,20911.27,46.3,3.6,2.0,28098.58,6.0,2.0,40.0,1
11215.56,17482.01,96.0,0.7,0.0,28822.32,4.0,3.0,44.2,0
10423.31,14486.72,44.2,4.4,1.0,18310.31,1.0,4.0,69.9,0
-2674.58,9947.21,74.1,,1.0,13148.5,0.0,2.0,166.5,0
5484.2,24549.42,85.8,4.0,6.0,40384.89,0.0,2.0,,1
5973.12,7460.19,72.9,10.9,3.0,32268.92,1.0,1.0,,0
893.28,22607.06,32.8,8.8,3.0,33241.95,7.0,1.0,65.5,1
6801.39,36670.06,42.3,8.5,3.0,,1.0,0.0,65.3,1
10496.02,31369.69,88.7,9.6,6.0,44487.06,0.0,0.0,49.5,0
3022.98,4453.85,45.3,2.3,5.0,22256.63,7.0,0.0,73.2,1
7576.48,13169.36,84.5,20.0,4.0,15377.91,3.0,4.0,47.6,0
3569.36,21793.06,53.5,2.8,2.0,18115.91,3.0,3.0,23.7,1
4349.88,17367.46,66.1,24.8,2.0,43854.3,2.0,0.0,65.5,0
11227.66,5405.35,,2.2,6.0,11667.43,7.0,4.0,69.2,1
4763.81,21467.84,49.6,1.2,6.0,15986.53,2.0,4.0,47.9,1
7979.08,17909.85,43.7,3.6,1.0,59782.11,6.0,5.0,60.7,1
512.1,35228.93,68.0,0.0,2.0,36292.45,7.0,5.0,78.9,1
12459.42,15720.94,65.1,4.3,2.0,16203.33,3.0,0.0,50.5,1
8428.49,28512.03,,,5.0,12022.63,5.0,3.0,39.5,0
5916.0,6596.2,52.2,0.2,6.0,4927.63,0.0,4.0,32.1,0
8341.75,8747.92,42.5,9.3,6.0,26165.37,6.0,1.0,44.9,1
1988.58,24494.96,67.0,4.2,5.0,33736.24,7.0,3.0,95.0,1
10284.1,27753.58,40.3,2.3,2.0,43225.58,1.0,0.0,46.4,0
5463.25,9383.47,86.7,13.3,2.0,2272.2,0.0,1.0,62.1,0
5846.98,18216.7,60.5,0.1,6.0,9095.42,0.0,5.0,42.9,0
4926.7,5565.79,55.8,4.8,2.0,23565.39,6.0,4.0,40.5,1
4641.92,16369.02,73.2,3.2,1.0,58452.04,1.0,1.0,27.4,0
8722.95,25532.31,61.3,5.0,5.0,35630.83,3.0,5.0,54.8,1
7318.9,14085.37,26.5,10.4,3.0,29473.6,2.0,1.0,37.5,0
8585.59,15758.69,39.6,6.5,0.0,10300.92,2.0,2.0,87.7,0
6471.86,7831.84,86.3,1.1,6.0,-439.82,1.0,2.0,,0
8142.24,12164.77,64.8,1.2,2.0,25466.2,3.0,3.0,50.8,0
5159.68,33823.0,26.0,5.5,2.0,23807.57,7.0,1.0,47.0,1
13635.14,18656.32,70.7,4.9,3.0,21786.31,2.0,1.0,62.4,0
1482.62,8979.23,50.7,1.1,1.0,20434.8,6.0,4.0,93.7,1
10535.0,15167.05,43.8,,5.0,,5.0,1.0,22.9,1
10877.3,3623.15,37.8,11.2,4.0,13268.29,6.0,0.0,59.8,1
3773.09,8872.56,85.0,0.1,3.0,41674.09,4.0,0.0,142.6,0
13633.68,30243.06,19.8,1.1,1.0,14361.66,2.0,1.0,86.2,1
9685.57,16717.66,44.6,2.1,3.0,21686.22,2.0,0.0,49.0,0
9607.64,35016.57,65.6,3.1,1.0,24531.06,2.0,0.0,10.1,0
6589.67,17141.87,97.7,2.0,6.0,33475.36,4.0,4.0,16.3,0
5804.88,17676.19,75.2,1.3,5.0,0.0,3.0,3.0,74.8,1
5829.89,23768.05,44.4,0.9,0.0,36736.82,3.0,0.0,5.4,1
,-6053.29,96.6,5.0,3.0,18044.0,2.0,1.0,59.8,0
,19844.45,33.2,7.0,5.0,,7.0,4.0,40.0,1
7080.21,17559.12,,4.4,3.0,44717.18,5.0,4.0,46.5,0
3583.38,31374.35,73.7,1.0,0.0,,7.0,5.0,33.1,1
9138.17,,43.6,5.9,0.0,33650.86,7.0,1.0,25.3,1
9447.68,7796.77,78.3,0.1,5.0,37055.33,4.0,5.0,38.4,0
8594.91,29179.25,51.7,21.1,3.0,28718.77,0.0,2.0,68.0,0
8885.6,,78.3,9.2,3.0,23589.63,7.0,1.0,43.8,1
5633.03,9859.92,22.5,1.4,1.0,50508.45,3.0,3.0,63.8,1
3527.23,,70.4,0.3,1.0,24833.86,3.0,0.0,45.2,1
,16175.08,53.9,2.0,2.0,27448.93,3.0,2.0,69.1,1
1266.52,31846.19,88.3,4.9,3.0,20961.68,0.0,2.0,63.6,0
7258.24,21065.6,62.0,6.0,3.0,26812.98,5.0,3.0,36.9,0
,19850.93,90.5,1.4,6.0,36569.42,0.0,1.0,25.3,0
5092.04,26105.82,74.2,4.5,1.0,21696.34,5.0,0.0,78.8,1
-2957.98,27835.84,60.2,0.4,3.0,-302.37,6.0,2.0,29.2,1
2508.58,25052.45,80.3,7.4,1.0,31162.84,3.0,5.0,66.0,0
10086.69,30775.17,80.5,3.9,0.0,12059.99,3.0,3.0,,1
4373.2,23478.14,73.4,3.7,2.0,33902.52,5.0,3.0,39.0,0
7653.89,19508.86,12.6,2.8,0.0,24984.1,6.0,3.0,64.0,1
2049.81,29152.55,41.4,8.6,2.0,36317.31,0.0,3.0,90.3,1
11103.86,17181.93,93.5,11.3,4.0,13619.87,3.0,1.0,69.5,0
6039.11,18299.22,35.4,,2.0,18577.35,2.0,5.0,55.6,0
7428.13,33494.19,82.4,2.1,4.0,20919.57,0.0,1.0,97.4,0
13942.5,32597.32,78.5,,2.0,7212.61,0.0,3.0,5.1,0
11352.61,17926.42,47.0,,2.0,38337.04,4.0,5.0,20.9,1
5518.99,13918.04,19.1,1.4,6.0,5494.93,6.0,3.0,39.0,1
4601.7,,50.5,0.4,1.0,38167.76,4.0,5.0,,1
5458.26,25203.77,108.7,0.4,3.0,30092.78,1.0,1.0,78.4,0
8131.67,20840.23,44.0,6.4,5.0,22613.59,3.0,3.0,3.9,1
6163.28,,45.5,2.4,2.0,29141.39,7.0,0.0,39.8,1
5235.22,20985.27,,6.0,2.0,28812.8,6.0,3.0,14.9,1
11194.98,,89.7,2.6,4.0,20194.87,0.0,1.0,50.9,0
6134.53,12020.96,57.7,2.9,0.0,28577.8,5.0,3.0,77.3,1
13858.69,19161.38,49.2,4.3,1.0,33774.2,4.0,1.0,79.3,1
6790.38,20388.82,94.1,0.4,2.0,13663.81,2.0,0.0,59.5,0
12213.02,14621.44,75.7,6.0,1.0,29154.34,2.0,5.0,40.1,0
7643.42,26134.43,42.8,0.5,3.0,-6515.9,5.0,5.0,49.3,1
9581.47,29599.49,36.1,0.6,4.0,1844.8,7.0,1.0,71.1,1
,26729.08,88.5,0.6,6.0,31774.32,2.0,1.0,117.7,1
3767.97,15513.76,63.4,,4.0,19986.05,7.0,0.0,18.8,0
7971.06,24802.39,28.9,1.3,4.0,14758.74,6.0,4.0,96.5,1
9663.37,18701.65,23.8,3.9,5.0,24363.69,0.0,5.0,58.8,0
6628.82,6878.29,38.4,3.4,1.0,20248.58,2.0,1.0,75.0,0
2383.54,24054.56,35.7,2.7,3.0,13136.71,3.0,2.0,57.2,1
2147.17,19315.18,,0.8,5.0,5331.41,5.0,4.0,91.3,1
1933.16,41341.93,38.8,0.2,1.0,1382.11,1.0,2.0,61.2,1
843.61,31115.44,42.8,2.7,2.0,33865.51,3.0,4.0,33.8,1
6850.35,24400.35,52.8,6.4,1.0,19930.01,0.0,4.0,64.6,0
10100.14,20242.53,100.2,1.8,6.0,36634.59,0.0,4.0,83.5,0
,19473.5,57.1,,2.0,19808.2,3.0,4.0,52.0,0
,8966.8,59.3,,2.0,29259.64,5.0,2.0,-6.1,1
5889.57,2349.11,74.2,2.9,5.0,23495.15,3.0,2.0,48.8,0
5979.04,10146.97,57.8,1.3,6.0,25533.36,3.0,3.0,54.7,0
13207.2,,71.8,2.8,0.0,26116.44,3.0,0.0,50.7,0
1837.16,-949.85,,9.9,6.0,19651.52,5.0,3.0,38.1,1
5249.83,13101.1,65.7,0.9,4.0,10244.54,5.0,0.0,89.0,1
11958.73,15771.48,123.9,3.9,6.0,34193.58,4.0,4.0,-14.4,0
7939.93,16061.16,83.0,9.6,0.0,44122.56,0.0,3.0,54.6,0
8302.6,12044.49,39.2,16.9,0.0,44910.58,0.0,2.0,55.0,1
6866.67,14926.38,,5.3,2.0,18360.76,2.0,1.0,110.7,0
7555.82,,45.6,2.6,5.0,16201.95,1.0,3.0,51.6,1
8988.35,23959.31,72.8,0.3,3.0,18348.61,4.0,3.0,64.5,0
3909.64,12957.29,32.7,0.0,5.0,22889.95,5.0,4.0,55.5,1
9309.79,17384.87,38.6,,1.0,24370.47,2.0,5.0,,0
2106.39,17745.18,70.6,2.3,2.0,13024.86,3.0,1.0,101.4,1
7550.78,11088.4,84.9,13.4,6.0,7243.17,1.0,0.0,20.9,0
,11077.83,74.1,3.4,3.0,25599.31,3.0,3.0,33.3,1
,,81.8,,5.0,-17364.91,3.0,0.0,73.1,1
6427.41,14221.94,71.2,4.6,4.0,23792.12,0.0,0.0,59.2,0
4507.87,8147.73,66.8,1.1,1.0,13663.03,5.0,1.0,44.1,0
3070.56,17611.74,51.9,0.4,6.0,34361.85,2.0,4.0,50.0,0
5368.43,19062.09,80.9,1.5,6.0,37571.62,5.0,0.0,77.6,1
2967.24,245.66,85.5,11.8,5.0,37854.95,5.0,2.0,,0
7532.95,17633.28,61.6,0.6,3.0,20842.64,1.0,0.0,32.0,0
2819.73,25811.82,60.4,,2.0,11378.27,7.0,5.0,58.7,1
8778.33,22061.06,98.0,,2.0,15224.89,0.0,4.0,50.6,0
2719.27,38068.16,62.6,5.3,4.0,28451.33,4.0,0.0,65.2,0
4687.86,29259.99,64.7,4.1,2.0,5249.63,6.0,1.0,43.0,0
4501.27,31040.41,73.7,5.3,1.0,,4.0,2.0,18.2,1
10740.47,43200.77,60.8,,0.0,21032.44,4.0,2.0,70.8,0
7556.93,24823.41,45.0,5.0,2.0,31002.08,3.0,1.0,67.4,1
5822.45,19467.63,71.3,0.7,5.0,3622.89,0.0,2.0,91.6,0
8095.9,26763.66,62.1,19.2,5.0,13888.22,5.0,5.0,15.1,0
-243.02,12966.87,103.5,6.8,5.0,2131.85,7.0,1.0,50.0,0
6361.97,18969.18,80.3,1.7,4.0,37254.27,6.0,0.0,45.5,0
12892.05,12170.45,49.9,7.5,6.0,23077.54,0.0,2.0,40.9,0
6923.51,21581.86,79.0,11.6,5.0,31855.66,1.0,2.0,8.9,0
6717.32,12132.82,,,5.0,25760.96,6.0,1.0,22.1,1
8254.01,11817.64,91.8,10.1,3.0,30621.7,5.0,0.0,59.6,1
9365.94,21721.26,51.5,3.2,0.0,20950.7,2.0,0.0,38.0,0
108.11,16760.6,,1.6,2.0,22557.45,1.0,4.0,28.9,0
1116.56,652.31,60.8,1.7,5.0,23899.21,3.0,0.0,92.1,1
7172.93,4899.99,64.3,14.2,5.0,29867.58,0.0,1.0,118.5,0
4212.4,7674.6,43.5,9.7,0.0,30185.42,0.0,4.0,50.4,0
10698.48,10053.25,75.7,3.0,0.0,58737.24,0.0,3.0,9.9,0
5491.44,21729.81,72.2,2.5,4.0,,6.0,0.0,63.1,1
309.5,19970.45,91.3,2.4,6.0,,0.0,1.0,-6.4,0
2442.36,27587.51,62.8,4.8,5.0,23282.73,4.0,2.0,14.2,1
-2298.96,24775.22,53.9,13.7,6.0,20129.25,2.0,2.0,63.6,0
5750.8,27647.13,80.4,1.6,0.0,40361.57,6.0,5.0,13.3,1
5897.17,23475.57,45.5,6.5,6.0,,1.0,0.0,43.7,0
,19887.11,86.9,4.0,0.0,30571.47,7.0,0.0,10.5,1
9952.41,27894.17,86.8,3.9,6.0,-3044.74,0.0,3.0,53.6,0
10335.26,26274.72,90.7,13.0,6.0,6836.79,6.0,5.0,83.5,1
5954.76,21384.86,71.3,10.7,3.0,50107.52,1.0,0.0,34.8,0
-331.02,29439.65,52.3,,3.0,25602.93,0.0,4.0,51.5,0
8475.3,-3112.09,65.4,2.5,3.0,13018.48,0.0,5.0,29.2,0
8277.15,15385.83,71.4,3.8,3.0,27914.45,6.0,2.0,31.1,1
7490.05,15247.89,50.7,0.1,5.0,12363.29,2.0,2.0,28.7,0
9640.74,28374.15,92.3,5.8,1.0,21599.52,3.0,5.0,74.0,0
2772.55,32142.55,130.4,10.8,1.0,7568.58,6.0,3.0,12.4,1
12928.02,4948.39,43.4,2.9,6.0,15535.35,2.0,3.0,42.7,1
3429.83,30700.5,104.4,8.4,5.0,20003.96,4.0,1.0,63.5,1
8897.51,7456.99,65.1,0.6,3.0,38448.39,2.0,5.0,77.5,0
1100.49,7729.06,38.9,6.1,1.0,30568.55,0.0,1.0,64.3,1
3523.15,15891.43,44.7,1.1,6.0,32662.29,7.0,2.0,50.0,1
11352.38,15136.14,95.7,0.2,6.0,24690.7,2.0,5.0,36.1,0
5665.12,3974.24,103.1,2.1,2.0,34874.19,6.0,3.0,77.9,1
9187.75,23848.9,85.2,3.4,3.0,14517.77,3.0,4.0,27.7,0
7258.26,24114.62,92.0,3.3,2.0,16207.53,6.0,5.0,28.1,1
6164.13,27486.37,89.8,12.7,5.0,29891.09,1.0,3.0,89.9,0
10864.32,14098.9,75.3,2.9,4.0,21650.23,4.0,0.0,62.1,1
5742.69,,70.2,0.9,3.0,24833.85,2.0,4.0,63.1,0
801.64,17726.16,74.9,1.6,6.0,23030.38,7.0,3.0,68.8,1
3929.63,33191.96,79.2,4.0,4.0,40041.4,2.0,1.0,49.3,0
8263.81,-7508.2,46.7,4.7,3.0,40666.64,6.0,0.0,11.7,1
7765.63,9387.5,79.1,0.7,6.0,17486.01,3.0,5.0,59.0,0
,18049.87,95.1,4.0,3.0,3881.57,3.0,0.0,51.5,0
4182.1,8229.87,58.5,2.3,2.0,16462.04,5.0,2.0,27.9,0
-1815.58,15675.12,56.1,1.1,2.0,14236.48,5.0,5.0,,1
5330.5,16865.32,,5.3,1.0,34980.98,3.0,5.0,50.7,0
,12080.83,48.7,2.4,1.0,36045.97,0.0,5.0,14.0,0
4489.21,18580.22,34.0,5.3,0.0,12627.11,0.0,4.0,48.0,1
4168.45,23653.34,88.2,13.8,5.0,15945.94,4.0,2.0,44.6,1
8968.91,15873.6,53.1,1.7,4.0,7251.87,0.0,1.0,48.7,0
9089.19,13921.25,63.4,0.1,6.0,26612.54,4.0,5.0,63.3,0
6033.41,16508.12,49.6,11.8,4.0,24461.0,7.0,3.0,69.4,1
5245.47,17933.07,91.1,5.0,0.0,34469.46,6.0,2.0,32.1,0
6947.76,2337.12,81.8,1.5,4.0,30965.58,5.0,5.0,76.4,1
3886.96,22153.99,57.7,0.8,1.0,32322.44,2.0,2.0,45.9,0
2830.14,13940.99,37.0,5.2,0.0,6495.98,5.0,0.0,101.1,1
3491.29,29353.82,55.4,,4.0,,1.0,3.0,35.6,0
4468.6,23319.48,75.5,2.6,0.0,36386.77,7.0,2.0,6.9,1
2776.88,28530.6,67.1,2.7,2.0,,0.0,3.0,75.3,0
7018.59,8900.97,65.4,15.6,6.0,5469.21,4.0,3.0,63.9,0
8835.09,14657.52,67.7,2.3,1.0,34695.87,3.0,3.0,85.6,1
1421.29,6817.87,79.7,4.4,4.0,18072.82,0.0,2.0,60.7,0
6580.41,11653.28,62.1,5.5,2.0,37751.64,1.0,1.0,117.5,0
5796.21,29268.95,72.9,8.0,0.0,24779.02,5.0,1.0,46.7,0
7592.83,31387.42,41.3,2.2,1.0,21673.37,4.0,5.0,81.3,1
6458.6,7666.8,119.2,0.7,0.0,,1.0,4.0,37.3,0
1848.48,13875.5,56.8,1.8,1.0,9368.13,1.0,2.0,65.8,0
